cluster_id,label,max_channel_name,max_channel_index,n_spikes,mean_rate_hz,peak_to_peak_uv,polarity,spike_width_ms,half_width_ms,n_channels_extent,n_waveforms,trace_start_s
91,good,48,105,126233,15.192195784923578,42.562007904052734,negative,0.3333333333333333,0.18430564299609192,3,300,2475.5
92,good,51,118,4787,0.5761175066934096,64.19110107421875,positive,0.13333333333333333,0.12186550070836166,2,27,5835.5
95,good,54,102,16925,2.036931021680793,84.43927764892578,positive,0.23333333333333334,0.1721604434583768,2,91,7318.75
97,good,50,104,305071,36.71542592113331,42.31110382080078,negative,0.3666666666666667,0.17827283730155147,5,300,4070.25
98,good,72,8,4358,0.5244871723772465,14.049749374389648,negative,0.6,0.2808700005083863,126,20,4034.25
99,good,80,0,1076,0.12949706229415264,14.468998908996582,negative,0.2,0.1467697534843142,116,20,6435.75
100,good,54,102,68399,8.231849037042515,121.06967163085938,negative,0.2,0.13364874757810627,13,300,6410.25
103,good,56,101,29920,3.6008848548708614,64.24061584472656,positive,0.13333333333333333,0.11865639614159502,2,164,8233.0
104,good,55,116,96798,11.649680888428799,58.45515060424805,negative,0.4333333333333333,0.18832133316080696,5,300,200.75
105,good,56,101,17749,2.1360997757053117,66.02392578125,positive,0.13333333333333333,0.11262682231205971,1,89,7681.75
107,good,55,116,60046,7.226561898247852,113.82231903076172,negative,0.3,0.12849779975110287,8,284,6410.5
108,good,58,100,8293,0.9980661130161783,127.12278747558594,negative,0.3333333333333333,0.16428156394105647,12,34,3923.5
110,good,58,100,15905,1.9141735834465592,62.673885345458984,negative,0.6,0.1820829583456769,6,89,2373.5
114,good,57,115,219090,26.367575630135597,77.29605102539062,negative,0.5,0.16818400004323433,7,300,15.5
115,good,59,114,6272,0.7548378947108971,70.7022705078125,positive,0.16666666666666666,0.1262468866042705,5,33,6457.5
118,good,59,114,2500,0.3008760741035145,79.88174438476562,negative,0.6,0.1618425162310942,61,20,2550.75
122,good,61,113,11917,1.4342160700366329,89.36006164550781,positive,0.13333333333333333,0.11544703300062675,4,74,7665.25
124,good,61,113,133048,16.012383962929757,188.85302734375,negative,0.5666666666666667,0.20596355581134831,12,300,284.75
127,good,63,112,18360,2.2096338882162105,54.79924392700195,positive,0.2,0.13420100145409714,2,92,1978.0
128,good,62,98,190292,22.901723957322393,70.1869888305664,negative,0.2,0.13222327858705288,9,300,7486.75
129,good,63,112,61949,7.455588765855448,73.77111053466797,negative,0.3,0.14211025102425706,6,300,6424.0
131,good,65,15,296996,35.743596201778956,106.08848571777344,negative,0.13333333333333333,0.12748429483429657,5,300,4043.75
136,good,70,10,261477,31.468869291345865,90.78160858154297,negative,0.5666666666666667,0.19315526812988548,11,300,8235.25
152,good,79,1,663888,79.89920603377361,95.0806884765625,negative,0.3666666666666667,0.16254184025609952,6,300,15.75
162,good,87,25,2499,0.3007557236738731,54.71699523925781,positive,0.13333333333333333,0.12256074316389161,38,20,8086.25
166,good,66,14,1388,0.16704639634227125,17.0625,negative,0.06666666666666667,0.524211245593563,78,20,6083.25
173,good,91,21,8170,0.9832630101702854,50.81781005859375,negative,0.3,0.1187424433434554,2,48,288.0
190,good,98,16,10041,1.2084386640293556,169.58094787597656,negative,0.5333333333333333,0.1403754144715322,11,48,6327.25
198,good,70,10,719,0.08653195891217078,28.63499641418457,negative,0.06666666666666667,0.13467836955092524,93,13,2876.5
209,good,101,61,19615,2.360673677416175,182.81629943847656,negative,0.6,0.1915042124514835,11,77,3316.25
212,good,103,60,40111,4.827376083346428,85.11510467529297,positive,0.16666666666666666,0.13047829554982407,4,203,5833.5
213,good,104,45,4420,0.5319488990150136,182.50048828125,negative,0.6,0.18752954681198208,21,20,5225.5
215,good,104,45,14106,1.69766316052167,110.79153442382812,negative,0.6666666666666666,0.20594423350285881,11,68,4700.25
217,good,104,45,13887,1.6713064164302023,228.2962646484375,negative,0.5,0.17212489227920613,11,80,3396.75
221,good,106,44,265,0.03189286385497254,551.3429565429688,negative,0.5666666666666667,0.1725408446921999,125,5,6210.0
222,good,106,44,2973,0.3578018273238994,173.51100158691406,negative,0.6333333333333333,0.18919768158214248,33,20,5052.75
223,good,106,44,18136,2.1826753919765354,516.7589721679688,negative,0.5666666666666667,0.18074461186199203,11,87,2420.25
226,good,107,58,44206,5.320211092727985,95.4405746459961,positive,0.13333333333333333,0.1273345696261409,5,237,6548.0
227,good,107,58,11348,1.365736675570673,82.2559585571289,negative,0.5,0.1815636848142417,8,63,6617.25
228,good,107,58,26748,3.219133292048322,258.8541259765625,negative,0.6,0.15288142947976446,11,140,6052.75
232,good,108,43,392980,47.29531184047965,65.10657501220703,negative,0.26666666666666666,0.12682712300033774,3,300,6233.25
233,good,107,58,54868,6.6033873735646536,89.24130249023438,positive,0.13333333333333333,0.10844262634447013,2,247,3878.5
237,good,110,42,5243,0.6309973026098906,58.26167678833008,negative,0.16666666666666666,0.11402737557774086,2,27,2268.75
238,good,110,42,4691,0.5645638654478345,98.65048217773438,negative,0.5666666666666667,0.20892903953222303,14,20,6082.75
240,good,110,42,25594,3.08024889624214,193.8599853515625,negative,0.4666666666666667,0.1487775694577254,9,104,3432.5
243,good,112,41,128937,15.51762334667394,62.86212921142578,negative,0.13333333333333333,0.11776177111902217,2,300,877.25
244,good,112,41,175260,21.09261629895278,55.816795349121094,negative,0.13333333333333333,0.10394399359099354,2,300,6096.5
245,good,111,56,45957,5.530944695030087,76.43376922607422,positive,0.13333333333333333,0.11203604856646206,1,188,2364.75
246,good,111,56,44414,5.345243982093397,86.86186218261719,negative,0.16666666666666666,0.10926062231557782,1,229,214.0
248,good,113,55,23541,2.833169464188334,65.52822875976562,positive,0.1,0.10612867069992783,1,95,7623.75
249,good,113,55,6926,0.8335470756963765,70.73624420166016,positive,0.3333333333333333,0.13558161886675477,5,44,2557.25
252,good,114,40,63902,7.690633154945114,45.3941650390625,negative,0.16666666666666666,0.11299261777769291,3,296,6436.0
256,good,114,40,74731,8.993907957531897,91.65193939208984,positive,0.16666666666666666,0.1443062292844024,3,300,3571.25
258,good,116,39,77359,9.310188886629511,67.99583435058594,negative,0.5,0.23215141238457992,7,300,7154.25
259,good,115,54,1687,0.2030311748050516,77.21025085449219,negative,0.26666666666666666,0.11215394743532035,69,20,7345.25
260,good,114,40,5568,0.6701111922433475,64.01849365234375,positive,0.16666666666666666,0.12325420035557441,24,20,5867.5
262,good,115,54,7288,0.8771139312265654,66.88499450683594,positive,1.1333333333333333,0.12416762737627789,3,26,5226.75
271,good,119,52,155908,18.763594784532295,64.79915618896484,negative,0.4333333333333333,0.1827437451713737,9,300,292.25
280,good,123,50,3550,0.42724402522699056,68.68875885009766,negative,0.4,0.1304007752750389,12,20,914.0
284,good,126,34,47735,5.744927758932506,65.18072509765625,positive,0.13333333333333333,0.11729193994111231,1,223,5998.0
288,good,128,33,22014,2.649394358125907,58.306617736816406,negative,0.6333333333333333,0.1766371281451272,3,121,309.25
289,good,127,48,4826,0.5808111734494243,77.40686798095703,positive,0.13333333333333333,0.11238658174964672,4,24,6338.25
291,good,128,33,40217,4.840133228888417,39.343509674072266,negative,0.16666666666666666,0.11358746871474655,2,151,1222.25
292,good,58,100,12071,1.4527500362014094,77.12971496582031,negative,0.5333333333333333,0.2343945381487952,7,54,1308.0
293,good,59,114,19681,2.3686168057725077,97.1914291381836,negative,0.4666666666666667,0.18295018357999732,8,91,7807.5
298,good,55,116,12312,1.4817544897449881,89.91146850585938,negative,0.3,0.12991882701900206,11,71,1318.5
299,good,55,116,174378,20.98646722000906,81.5925521850586,negative,0.3,0.12094522460193265,10,300,7665.25
310,good,110,42,3522,0.4238742131970312,83.65499877929688,positive,0.16666666666666666,0.1307973804261102,19,20,7256.0
321,good,80,0,1921,0.23119317534114053,12.0704984664917,positive,0.16666666666666666,0.14299539374729284,15,20,286.75
322,good,107,58,35717,4.298556295502091,324.7852783203125,negative,0.6333333333333333,0.19932645729124174,9,175,5348.5
327,good,97,63,8270,0.995298053134426,164.2503204345703,negative,0.6333333333333333,0.19877126041558182,10,42,588.5
